Designator,Mid X,Mid Y,Layer,Rotation
C1,267.9700,-148.0950,top,90
C2,144.4740,-147.8954,top,90
C3,29.5734,-146.7844,top,270
C221,215.1250,-140.9700,top,0
C231,215.4050,-148.5900,top,180
C401,228.5440,-131.5236,top,270
CP1,199.3900,-134.8250,top,90
C_hv1,168.9100,-147.1150,top,270
Cbyp1,172.7200,-130.8100,top,0
Cref1,168.9100,-133.3500,top,90
Cstor1,187.4650,-134.6200,top,180
DS1,189.2300,-144.2975,top,270
DZ1,195.5800,-135.1000,top,90
DZ2,187.1700,-137.1600,top,180
D_LD1,192.9865,-119.8110,top,0
F1,193.0400,-134.6200,top,270
LED_G1,208.7625,-123.1900,top,180
LED_P1,203.2035,-133.7028,top,90
LED_R1,238.7600,-123.1900,top,180
Lbst1,183.0100,-127.0000,top,0
PwrHarv1,172.2800,-133.7900,top,0
R1,266.2943,-147.6918,top,90
R2,142.6858,-147.1163,top,90
R3,31.0948,-147.2853,top,270
R4,220.5350,-129.5400,top,0
R301,229.4250,-139.7000,top,180
R_G1,208.7250,-119.3800,top,0
R_LD1,193.4850,-123.1900,top,180
R_P1,203.2000,-136.7150,top,90
R_R1,237.9350,-119.3800,top,0
R_SW1,223.9650,-120.6500,top,0
R_SW2,223.9650,-123.1900,top,0
Roc1,165.1000,-132.9050,top,90
Roc2,165.1000,-136.7150,top,90
Roc3,165.1000,-140.5250,top,90
Rok1,178.6250,-140.9700,top,0
Rok2,174.4350,-140.9700,top,0
Rok3,170.6250,-140.9700,top,0
Rov1,177.8000,-143.5100,top,0
Rov2,173.9900,-143.5100,top,0
Rov3,170.1800,-143.5100,top,0
Ruv1,174.8150,-138.4300,top,0
Ruv2,170.6250,-138.4300,top,0
U1,198.1200,-142.2400,top,180
TH3,26.6700,-147.3200,top,90
TH2,147.3200,-147.3200,top,270
TH1,271.7800,-147.3200,top,270
RF_MCU1,223.5200,-135.8900,top,180
XTAL1,215.4800,-144.9500,top,90

